"source","rank.set.level","no.estimates","mean.percent.error","abs.mean.percent.error","mean.abs.per.error","max.abs.per.error","root.mean.sqrd.error","no.abs.error.over.5","percent.abs.error.over.5","mean.abs.scaled.error","r.correlation","real.CV","fit.CV","mean.CV","rel.abs.MPE","rel.MAPE","rel.RMSE","rel.MASE","rel.cor","rel.over.5","rel.sum","rel.sumMASE","rel.sumRed","rel.sum.5","sys.meth.set","rank.filter","rank.method","rank.set","special.level"
"All_ROM_GenB_Model",1,12,0.000455304209162151,0.000455304209162151,0.415022185718395,0.865616862207598,126276.718211784,5,0.416666666666667,1.83202098320495,0.930492207061098,0.5,5.6,5.6,0,0,0.190420568082546,0.157306259540997,0.0356605357394706,0.2,0.056520275955504,0.0766774726726026,0.0634735226941819,0.0852162207644032,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"All_ROM_Gen_Model",1,12,0.319688345352803,0.319688345352803,0.61895399093676,1.55922994703631,232670.776373258,7,0.583333333333333,3.0026694990723,0.928867328447119,0.6,6.5,6.5,0.400661862134626,0.329413787674095,0.494402493951462,0.445534945283813,0.0950419939360177,0.6,0.32988003442405,0.353011016596003,0.408159381253395,0.38390402753924,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"All_ROM_Size_Model",3,12,0.701739737543634,0.701739737543634,0.951685618345558,2.45295717354713,375195.652726665,8,0.666666666666667,4.80584226813705,0.925808034215672,0.7,8.2,8.2,0.880165555354866,0.866879660377642,0.901614956252541,0.889499218377084,0.206844408561191,0.8,0.71387614513656,0.749000759784665,0.882886723995016,0.731100916109248,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"All_ROM_WC_Model",4,12,0.292643173612796,0.292643173612796,0.619421705021547,1.5664635847588,231407.902310266,7,0.583333333333333,3.00854844756852,0.924583821926046,0.6,6.5,6.5,0.366718104833432,0.330169292525599,0.490794295369399,0.446982417839106,0.251583449542271,0.6,0.359816285567675,0.377249512021962,0.395893897576143,0.40785302845414,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"Individual_Data_Model",5,12,0.197144900069937,0.197144900069937,0.469569563190311,1.1320002346528,62782.8213610255,5,0.416666666666667,1.19311740289779,0.904104600227557,1.5,18,18,0.246860473645727,0.0881111124450259,0.00901008915971998,0,1,0.2,0.335995418812618,0.268796335050095,0.114660558416824,0.308796335050095,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"Individual_Inverse_Data_Model",5,12,0.143921218957868,0.143921218957868,0.473278225996078,0.850421003181376,101220.983873932,5,0.416666666666667,1.65934882256364,0.914440985552648,4.9,61.7,61.7,0.180060686544661,0.0941017653534607,0.118833014137373,0.114792157954199,0.62225508551542,0.2,0.253812637887728,0.226008541901023,0.130998488678498,0.243050110310183,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"Inverse_LXL_Aerial_Data_Model",2,12,0.521013494053055,0.521013494053055,0.708000866273001,1.34136806573996,189492.735216203,9,0.75,2.6963423470022,0.927863971165701,5.5,73.5,73.5,0.653340308838638,0.473252403007515,0.371037107453574,0.37011326981781,0.131709852045657,1,0.407334917836346,0.399890588232639,0.499209939766576,0.525867934269077,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"Inverse_LXL_Both_Data_Model",2,12,0.441069796189976,0.441069796189976,0.638789678768677,1.27579279225242,149077.099843302,9,0.75,2.26050807322325,0.931468000577221,4.9,63.7,63.7,0.553004858795619,0.361454641001688,0.25556428041633,0.262805279220899,0,1,0.292505945053409,0.286565811886907,0.390007926737879,0.434004756042727,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"LXL_Data_Model",2,12,0.384077420712647,0.384077420712647,0.561843176240762,1.45400108397491,60219.2883978449,4,0.333333333333333,1.20122659337657,0.920382907450249,1,11.9,11.9,0.481475072265948,0.237161920605016,0.00168573570763709,0.00199658674867471,0.40510656516811,0,0.281357323436678,0.225485176099077,0.240107576192867,0.225085858749342,"05_Individual - Tachie River - Aerial","Tachie River","Aerial","05_Individual_Specific",5
"All_Clarity_Model",1,58,0.0509040838333082,0.0509040838333082,0.175491766304804,0.606341760813377,1888.52709260208,1,0.0172413793103448,0.87942522054164,0.975206421816493,0.9,7.5,7.5,0.142609320388982,0,0,0,0,0,0.0356523300972456,0.0285218640777965,0.0475364401296608,0.0285218640777965,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"All_Minimal_Model",1,58,0.0728288978713296,0.0728288978713296,0.199631935401254,0.667031834612336,2043.87509044528,4,0.0689655172413793,0.977059200256371,0.971252149952363,0.9,7.3,7.3,0.23971439829714,0.168090161088369,0.0513914258443174,0.0757204466136273,1,0.272727272727273,0.364798996307457,0.306983286368691,0.153065328409942,0.34638465159142,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
"All_ROM_Agg_Model",2,58,0.0187051206382598,0.0187051206382598,0.184536028251768,0.590231237774294,2254.19243772487,2,0.0344827586206897,1.05544469718528,0.973766760401335,0.4,3.1,3.1,0,0.0629760065688231,0.120967529215813,0.136512650852669,0.364077500137895,0.0909090909090909,0.137005258980633,0.13690673735504,0.0613145119282121,0.127786025366325,"03_Size_Specific - Small - Ground","Small","Ground","03_Size_Specific",3
