"watershed_group","run_timing_group","CU","gazetted_stream_name","stream_alias","year","size","aggr","lpe_method","water_clarity","lpe","hpe","classic","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate"
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Middle River",NA,2005,"X-Large","LXL","Aerial","Pt_Turb_Tannic",48315,72233,86967,"All_ROM_GenB_Model",11.7415777816898,0.60186101835085,66.1,68852.1522283302,229449.628341249,125690.495819236
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Kuzkwa River",NA,2005,"Medium","SM","Aerial","Clear",6267,13682,11280.6,"All_Minimal_Model",10.0002514879517,0.095184534308311,9.5,20031.6129803618,24232.1616171459,22032.0058821762
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,2009,"Small","SM","Ground","Clear",1042,1494,1875.6,"Early_Stu_DeadAlive_Model",11.7019715240102,0.257953939923248,26.2,1498.77192510163,1710.74555092468,1602.42278220336
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O' Ne-Ell Creek","Kynock/Kynoch Creek",2004,"Small","SM","Ground","Clear",1019,1493,1834.2,"Early_Stu_DeadAlive_Model",11.3203240821147,0.299479459835719,30.6,1338.58094538741,1568.90394945465,1450.69655754677
"Late South Thompson","Late","Shuswap Complex-L","Little River",NA,2006,"X-Large","LXL","Aerial","Clear",175000,416790,315000,"All_ROM_GenB_Model",13.1427116931195,0.673681679803525,75.8,260154.252602108,1000883.20475459,510278.377040349
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2006,"Medium","SM","Ground","Clear",44997,146101,80994.6,"Stellako_Discharge_Model",11.6330328594392,0.103979485900326,10.4,101625.866528443,125117.971766239,112761.794500732
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,1999,"Small","SM","Ground","Clear",1183,1264,2129.4,"Early_Stu_DeadAlive_Model",11.4179555739563,0.359330025878526,37.1,1352.39469495689,1633.56199346036,1488.55555113317
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",NA,2004,"Small","SM","Ground","Clear",706,1029,1270.8,"Early_Stu_DeadAlive_Model",10.5324941712597,0.269311545315938,27.4,1081.05096999058,1260.34396199388,1168.40574139554
"Quesnel","Summer","Quesnel-S","Horsefly River",NA,2007,"Medium","SM","Aerial","Clear",20885,55181,37593,"All_Minimal_Model",10.8960357430453,0.0488026689074566,4.9,51391.7572674911,56660.8294273456,53962.0199075689
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,2007,"Large","LXL","Aerial","Clear",16050,52713,28890,"All_ROM_Gen_Model",10.78074413156,0.631636291270527,70,25568.2810379309,90434.4377889606,48085.8931589653
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,2007,"Large","LXL","Ground","Clear",19405,52713,34929,"All_Clarity_Model",11.5421737155917,0.142659813712982,14.3,89278.3147901549,118756.864828089,102968.018149395
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2007,"Medium","SM","Aerial","Clear",13100,41481,23580,"All_Systems_Discharge_Model",10.5594546731581,0.0826027417736039,8.3,35484.5238095909,41858.8036135785,38540.1052601964
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2007,"Medium","SM","Ground","Clear",22435,41481,40383,"Stellako_Discharge_Model",11.0365754165574,0.140585529958524,14.1,53959.5454578296,71479.1406184621,62104.6048010009
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",NA,1998,"Small","SM","Ground","Clear",409,981,736.2,"Early_Stu_DeadAlive_Model",9.16876066754407,0.287873358017406,29.4,700.436997755874,845.687178186944,770.782612943081
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2008,"Medium","SM","Ground","Clear",75025,159749,135045,"Stellako_Discharge_Model",11.8914649110978,0.0741171543323509,7.4,135584.149595226,157248.410346951,146015.040294117
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,2008,"X-Large","LXL","Aerial","Pt_Turb_Tannic",19832,123014,35697.6,"All_ROM_GenB_Model",10.7721989818789,0.552171673147878,59.7,27447.4160278538,82815.5111059852,47676.7426203314
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,2003,"Small","SM","Ground","Clear",611,873,1099.8,"Early_Stu_DeadAlive_Model",10.3524045538391,0.269151835575312,27.4,1025.18432295792,1198.29701451858,1109.49079999712
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Crow Creek",NA,1996,"Small","SM","Ground","Clear",372,845,669.6,"All_Clarity_Model",6.52704543237056,0.107065982804981,10.7,613.99049622447,760.602905255204,683.376144760275
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2009,"X-Large","LXL","Aerial","Pt_Turb_Tannic",113905,307373,205029,"All_ROM_GenB_Model",12.6752244432698,0.649718771454073,72.5,166959.353876844,612278.923317732,319727.529983794
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,2009,"X-Large","LXL","Aerial","Pt_Turb_Tannic",26284,47452,47311.2,"All_ROM_GenB_Model",11.078830645985,0.567889292112625,61.7,36715.0251125798,114315.784584184,64785.0824015265
"Quesnel","Summer","Quesnel-S","Mitchell River",NA,2009,"Medium","SM","Aerial","Clear",18777,45741,33798.6,"All_Minimal_Model",10.9676207669917,0.0775453060435744,7.8,53641.3476442842,62640.4223435162,57966.5133634354
